species	x	y
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__IMCC26256.D_4__uncultured.Aciditerrimonas.sp..D_5__uncultured.Aciditerrimonas.sp.	1.17486840955213	0.017245584616857
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__IMCC26256.D_4__uncultured.Actinomycetales.bacterium.D_5__uncultured.Actinomycetales.bacterium	-0.277251081439666	0.078422816774379
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__IMCC26256.D_4__uncultured.Ferrimicrobium.sp..D_5__uncultured.Ferrimicrobium.sp.	0.708153168975371	-0.070567406135149
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__IMCC26256.D_4__uncultured.actinobacterium.D_5__uncultured.actinobacterium	0.830205831113308	0.331721919758554
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__IMCC26256.__.__	-0.347423973849186	0.25832305118109
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__Iamiaceae.D_5__Iamia	-0.084029634000438	0.334006982168953
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__Ilumatobacteraceae.D_5__CL500.29.marine.group	0.993195036393546	0.226946029577764
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__Ilumatobacteraceae.D_5__Ilumatobacter	-0.881432611451654	0.065866980625027
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__Ilumatobacteraceae.D_5__uncultured	0.205556949141283	0.150012603216005
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__Ilumatobacteraceae.__	0.14623726559544	0.261919765768405
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__Microtrichaceae.D_5__Sva0996.marine.group	-1.26493470096359	0.243155467221334
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__metagenome.D_5__metagenome	1.17486840955214	0.017245584616857
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__uncultured.D_5__uncultured.Acidimicrobiales.bacterium	-1.53393905483046	0.318049140876357
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__uncultured.D_5__uncultured.Acidimicrobidae.bacterium	-0.847538709427704	0.264182657613783
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__uncultured.D_5__uncultured.Actinomycetales.bacterium	-0.490056123683996	-1.27930571514104
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__uncultured.D_5__uncultured.Iamiaceae.bacterium	1.0806873045598	0.228703160898386
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__uncultured.D_5__uncultured.Streptomycetaceae.bacterium	1.15442114014841	0.030490238856287
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__uncultured.D_5__uncultured.bacterium	-0.554078282210965	0.198891842492964
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__uncultured.D_5__wastewater.metagenome	-1.30138108523696	-0.550779486881521
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__uncultured.__	-0.392859736368787	0.321473421169472
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.__.__	-0.027401854552799	0.216708354460538
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__uncultured.D_4__metagenome.D_5__metagenome	0.958682731379254	0.221718908560416
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__uncultured.D_4__uncultured.Acidimicrobidae.bacterium.D_5__uncultured.Acidimicrobidae.bacterium	0.75525110354579	0.136431472840643
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__uncultured.D_4__uncultured.Iamia.sp..D_5__uncultured.Iamia.sp.	0.791309752917169	0.578351661442742
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__uncultured.D_4__uncultured.bacterium.D_5__uncultured.bacterium	0.425982917509301	-2.92891717507368
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__uncultured.D_4__uncultured.soil.bacterium.D_5__uncultured.soil.bacterium	0.748460544349461	-0.959509496078131
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__uncultured.__.__	-0.251176358430003	-0.462692353398379
D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.__.__.__	-0.924743443254477	0.313095989810176
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Corynebacteriales.D_4__Corynebacteriaceae.D_5__Corynebacterium.1	-0.942872469106314	0.439502330600197
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Corynebacteriales.D_4__Corynebacteriaceae.D_5__Lawsonella	-1.58761175815705	0.408918966105518
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Corynebacteriales.D_4__Mycobacteriaceae.D_5__Mycobacterium	-0.252431621123672	0.079191993129419
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Corynebacteriales.D_4__Nocardiaceae.D_5__Nocardia	1.17486840955213	0.017245584616858
D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Corynebacteriales.D_4__Nocardiaceae.D_5__Rhodococcus	-1.30138108523696	-0.550779486881521
